,Artist,Birth Date,Birth Place,Death Date,Death Place,Nationality,Official Website,Education,Notable Work,Style,Movement,Start Date,End Date,Lifespan
109,Clarence Major,1936-01-01,Atlanta,,,United States of America,http://www.clarencemajor.com,,,,Unknown,,,
110,Clarence Morgan,1950-01-01,,,,United States of America,http://www.clarence-morgan.com/,,,,Unknown,,,
111,Clarence Talley,1952-01-01,Alexandria,,,,https://www.clarencetalley.com/home,"Southern University, Louisiana State University",,,Unknown,,,
112,Claude Clark,1915-11-11,Rockingham,2001-04-21,Oakland,United States of America,http://www.claudeclark.com/,"The University of the Arts, University of California, Berkeley, California State University, Sacramento, Philadelphia College of Art",,"portrait, landscape painting, still life, marine art",Black Arts Movement,1960-01-01,1979-12-31,85.44284736481862
113,Clementine Hunter,1886-01-01,Cloutierville,1988-01-01,Natchitoches,United States of America,,,,portrait,Unknown,,,101.99589322381931
114,Clementine Hunter,1886-01-01,Cloutierville,1988-01-01,Natchitoches Parish,United States of America,,,,portrait,Unknown,,,101.99589322381931
115,Clementine Hunter,1886-01-01,Louisiana,1988-01-01,Natchitoches,United States of America,,,,portrait,Unknown,,,101.99589322381931
116,Clementine Hunter,1886-01-01,Louisiana,1988-01-01,Natchitoches Parish,United States of America,,,,portrait,Unknown,,,101.99589322381931
117,Clifford Darrett,1941-01-01,,,,,,,,,Unknown,,,
118,Constance Willard Grayson,1909-01-01,New Rochelle,1992-01-01,,United States of America,,Hunter College,,,Unknown,,,82.99794661190965
119,Corinne Mitchell,1914-03-10,Baskerville,1993-04-21,"Washington, D.C.",United States of America,,"George Washington University, Virginia State University, Saint Paul's College",,,Unknown,,,79.11567419575633
120,Corinne Mitchell,1914-03-10,South Hill,1993-04-21,"Washington, D.C.",United States of America,,"George Washington University, Virginia State University, Saint Paul's College",,,Unknown,,,79.11567419575633
121,D. Lammie-Hanson,1966-01-01,New York City,,,,http://www.dlammiehanson.com/,,,,Unknown,,,
122,Dana Chandler,1941-04-07,Lynn,,,United States of America,,Massachusetts College of Art and Design,,,Black Aesthetic,1960-01-01,1979-12-31,
123,Dane Tilghman,1957-01-01,West Chester,,,,,Kutztown University,,,Unknown,,,
124,Daniel LaRue Johnson,1938-01-01,Los Angeles,2017-01-01,,United States of America,,California Institute of the Arts,,,Unknown,,,79.00068446269678
125,Daniel Wynn,,Jacksonville,,,United States of America,https://www.wynn-art.com/index.html,Howard University,,"interior design, graphic design, sculpture, painting, illustration",Cubism,1907-01-01,1914-12-31,
126,Danielle Mckinney,1981-01-01,Montgomery,,,,,Parsons School of Design,,,Unknown,,,
127,Danny Simmons,1953-08-17,New York,,,United States of America,,"New York University School of Social Work, Long Island University",,,Unknown,,,
128,Darrell K. Evers,1953-06-30,Mound Bayou,2001-02-18,Burbank,United States of America,,Art Center College of Design,,,Unknown,,,47.63860369609856
129,Daryl Myntia Daniels,,Cincinnati,,,United States of America,https://www.dmyntiad.com/,"Ohio University, School of Visual Arts",,,Unknown,,,
130,David Boxer,1946-03-17,,,,,,,,,Unknown,,,
131,David Hammons,1943-07-24,Springfield,,,United States of America,https://www.mnuchingallery.com/artists/david-hammons,"California Institute of the Arts, Los Angeles Trade–Technical College, Otis College of Art and Design",Free Nelson Mandela,conceptual art,Contemporary Art,1970-01-01,,
131,David Hammons,1943-07-24,Springfield,,,United States of America,https://www.mnuchingallery.com/artists/david-hammons,"California Institute of the Arts, Los Angeles Trade–Technical College, Otis College of Art and Design",Free Nelson Mandela,conceptual art,Conceptual Art,1965-01-01,1975-12-31,
131,David Hammons,1943-07-24,Springfield,,,United States of America,https://www.mnuchingallery.com/artists/david-hammons,"California Institute of the Arts, Los Angeles Trade–Technical College, Otis College of Art and Design",Free Nelson Mandela,conceptual art,Postmodernism,1970-01-01,,
132,David Philip Bradford,1937-01-01,Chicago,,,,,"Otis College of Art and Design, School of the Art Institute of Chicago",,,Unknown,,,
133,Dawn Williams Boyd,,Neptune City,,,,,,,,Unknown,,,
134,Dean Mitchell,1957-01-01,Pittsburgh,,,United States of America,,Columbus College of Art and Design,,,Unknown,,,
135,Debora Dancy,1949-01-01,Bessemer,,,,https://www.deborahdancy.com,"Illinois State University, Illinois Wesleyan University",,abstract art,Contemporary Art,1970-01-01,,
136,Debra Priestly,1961-01-01,,,,United States of America,,,,,Unknown,,,
137,Delilah Pierce,1904-01-01,"Washington, D.C.",1992-05-27,"Washington, D.C.",United States of America,,,,,Unknown,,,88.40246406570841
138,Dell Godbold,1941-04-03,Kansas City,2017-04-17,,,,"Wichita State University, Kansas City Art Institute",,,Unknown,,,76.03832991101984
139,Don Miller,1923-01-01,Jamaica,1993-02-07,Montclair,,,"Cooper Union, Art Students League of New York",,,Unknown,,,70.10266940451746
140,Donald E. Coles,1947-01-01,,,,,,,,,Unknown,,,
141,Donnie R. Carter,1939-01-01,Louisville,,,United States of America,,,,,Unknown,,,
142,Doris Colbert Kennedy,1945-01-01,"Washington, D.C.",,,United States of America,,Howard University,,,Unknown,,,
143,Dox Thrash,1893-03-22,Griffin,1965-04-19,Philadelphia,United States of America,,School of the Art Institute of Chicago,,,Unknown,,,72.07392197125257
144,Dressler Smith,,,,,,,Moore College of Art and Design,,,Unknown,,,
145,Dumile Feni,1942-05-21,Worcester,1991-01-01,New York City,South Africa,,,,,Unknown,,,48.616016427104725
146,Durock Turpin,1871-03-12,,1941-08-31,,,,,,,Unknown,,,70.46954140999316
147,Earl J. Hooks,1927-08-02,Baltimore,2005-02-06,Manassas,,,"The Catholic University of America, Howard University, Rochester Institute of Technology",,,Unknown,,,77.51676933607118
148,Earl Sweeting,1904-01-01,New York City,1981-01-01,New York City,,,National Academy of Design,,,Unknown,,,77.00205338809035
149,Earnestine Huff,1952-01-01,Atlanta,2005-01-01,Winston-Salem,,,"Georgia State University, Shaw University, Atlanta College of Art",,,Unknown,,,53.002053388090346
150,Ed Clark,1926-05-06,Storyville,2019-10-18,Detroit,United States of America,http://www.artistedclark.com/,"Académie de la Grande Chaumière, School of the Art Institute of Chicago",,"minimalism, action painting",Abstract Expressionism,1940-01-01,1959-12-31,93.45106091718002
151,Edgar Brierre,1933-01-01,,,,Haiti,,,,,Unknown,,,
152,Edouard Duval-Carrié,1954-12-19,Port-au-Prince,,,Haiti,http://www.edouard-duval-carrie.com/index.html,Beaux-Arts de Paris,,,Unknown,,,
153,Edouard Duval-Carrié,1954-12-19,Port-au-Prince,,,United States of America,http://www.edouard-duval-carrie.com/index.html,Beaux-Arts de Paris,,,Unknown,,,
154,"Edward L. Loper, Sr.",1916-04-07,Wilmington,2011-10-11,Wilmington,United States of America,,"Howard High School of Technology, Barnes Foundation",,,Impressionism,1860-01-01,1889-12-31,95.50992470910336
155,Edward L. Pryce,1914-05-26,,2007-01-01,,,,"Ohio State University, Tuskegee University",,,Unknown,,,92.60232717316906
156,Edward Mitchell Bannister,1828-11-02,St. Andrews,1901-01-09,Providence,United States of America,http://www.edwardmbannister.com/biographies/ebbio.html,Lowell Institute,,landscape painting,Unknown,,,72.18343600273785
157,Edward Strickland,1930-01-01,New York City,,,,,,,landscape painting,Unknown,,,
158,Edwin Augustus Harleston,1882-03-14,Charleston,1931-05-05,Charleston,United States of America,,,,,Unknown,,,49.138945927446954
159,El Anatsui,1944-06-13,Anyako,,,Ghana,http://elanatsui.com/,Kwame Nkrumah University of Science and Technology,,"abstract art, installation art",Contemporary Art,1970-01-01,,
160,El Anatsui,1944-06-13,Anyako,,,Nigeria,http://elanatsui.com/,Kwame Nkrumah University of Science and Technology,,"abstract art, installation art",Contemporary Art,1970-01-01,,
161,El Anatsui,1944-06-13,Ghana,,,Ghana,http://elanatsui.com/,Kwame Nkrumah University of Science and Technology,,"abstract art, installation art",Contemporary Art,1970-01-01,,
162,El Anatsui,1944-06-13,Ghana,,,Nigeria,http://elanatsui.com/,Kwame Nkrumah University of Science and Technology,,"abstract art, installation art",Contemporary Art,1970-01-01,,
163,Elba Lightfoot,1910-01-01,Evanston,1989-01-01,New York City,United States of America,,"Northwestern University, Art Students League of New York",,,Harlem Renaissance,1920-01-01,1939-12-31,79.00068446269678
164,Eldzier Cortor,1916-01-10,Tidewater,2015-11-26,Long Island,United States of America,,School of the Art Institute of Chicago,,,Unknown,,,99.87679671457906
165,Elizabeth Catlett,1915-04-15,"Washington, D.C.",2012-04-02,Cuernavaca,Mexico,,"Escuela Nacional de Pintura, Escultura y Grabado ""La Esmeralda"", University of Iowa, Howard University, Dunbar High School","Black Unity, Students Aspire",social-artistic project,Harlem Renaissance,1920-01-01,1939-12-31,96.96646132785763
166,Elizabeth Catlett,1915-04-15,"Washington, D.C.",2012-04-02,Cuernavaca,United States of America,,"Escuela Nacional de Pintura, Escultura y Grabado ""La Esmeralda"", University of Iowa, Howard University, Dunbar High School","Black Unity, Students Aspire",social-artistic project,Harlem Renaissance,1920-01-01,1939-12-31,96.96646132785763
167,Ella D. Spencer,,,,,,,,,,Unknown,,,
168,Ellen Banks,1941-01-07,Boston,2017-05-18,Brooklyn,United States of America,http://ellenbanks.net/,"Massachusetts College of Art and Design, School of the Museum of Fine Arts","Bovadra, Scott Joplin",,Unknown,,,76.3586584531143
169,Ellen Gallagher,1965-12-16,Providence,,,United States of America,,,"Untitled, Teeth Tracks, Tally","abstract art, figurative art",Black Atlantic,1990-01-01,,
170,Ellis Wilson,1899-04-20,Mayfield,1977-01-01,New York,United States of America,,"Kentucky State University, School of the Art Institute of Chicago",,,Unknown,,,77.70020533880904
171,Emilio Cruz,1938-03-15,The Bronx,2004-12-10,,United States of America,,,,,Unknown,,,66.74058863791923
